,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Barrett Esposito,3.0,67.0
Color,Barry Cook,113.0,87.0
Color,Barry Levinson,1051.0,114.66666666666667
Color,Barry Skolnick,54.0,99.0
Color,Barry Sonnenfeld,1157.0,96.57142857142857
Color,Barry W. Blaustein,70.0,108.0
Color,Bart Freundlich,154.0,97.0
Color,Baz Luhrmann,841.0,142.66666666666666
Color,Becky Smith,3.0,89.0
Color,Beeban Kidron,143.0,108.0
Color,Ben Affleck,1034.0,140.0
Color,Ben Falcone,302.0,99.5
Color,Ben Lewin,337.0,95.0
Color,Ben Stassen,56.0,88.0
Color,Ben Stiller,1103.0,104.6
Color,Ben Wheatley,308.0,94.0
Color,Ben Younger,132.0,120.0
Color,Benedek Fliegauf,88.0,111.0
Color,Benedikt Erlingsson,66.0,81.0
Color,Benh Zeitlin,663.0,93.0
Color,Benjamin Dickinson,36.0,97.0
Color,Benjamin Roberds,13.0,76.0
Color,Bennett Miller,690.0,121.5
Color,Benni Diez,95.0,87.0
Color,Benny Boom,49.0,84.0
Color,Benson Lee,65.0,110.0
Color,Bernardo Bertolucci,195.0,162.5
Color,Beto Gómez,16.0,105.0
Color,Betty Thomas,401.0,93.25
Color,Bibo Bergeron,288.0,89.66666666666667
Color,Bigas Luna,22.0,101.0
Color,Bill Benenson,1.0,71.0
Color,Bill Condon,787.0,124.33333333333333
Color,Bill Duke,45.0,99.0
Color,Bill Melendez,43.0,25.0
Color,Bill Muir,10.0,97.0
Color,Bill Paxton,247.0,110.0
Color,Bill Plympton,19.0,75.0
Color,Bille August,96.0,119.5
Color,Bille Woodruff,190.0,100.25
Color,Billy Bob Thornton,189.0,184.0
Color,Billy Kent,50.0,88.0
Color,Billy Ray,284.0,105.0
Color,Billy Wilder,34.0,105.0
Color,Blair Erickson,78.0,87.0
Color,Blair Hayes,47.0,84.0
Color,Blake Edwards,55.0,128.0
Color,Blaz Zavrsnik,2.0,83.0
Color,Bo Welch,109.0,82.0
Color,Bo Zenga,45.0,90.0
Color,Boaz Yakin,476.0,108.33333333333333
Color,Bob Clark,261.0,93.25
Color,Bob Dolman,92.0,98.0
Color,Bob Fosse,99.0,138.5
Color,Bob Giraldi,39.0,99.0
Color,Bob Gosse,52.0,105.0
Color,Bob Odenkirk,97.0,91.5
Color,Bob Rafelson,76.0,111.5
Color,Bob Saget,51.0,81.0
Color,Bob Spiers,33.0,93.0
Color,Bobby Farrelly,1442.0,108.3
Color,Bobby Roth,1.0,120.0
Color,Bobcat Goldthwait,129.0,99.0
Color,Bonnie Hunt,106.0,115.0
Color,Boris Rodriguez,56.0,83.0
Color,Brad Anderson,804.0,100.6
Color,Brad Bird,1638.0,115.8
Color,Brad Copeland,9.0,87.0
Color,Brad Furman,530.0,111.0
Color,Brad J. Silverman,15.0,102.0
Color,Brad Peyton,627.0,96.66666666666667
Color,Brad Silberling,414.0,107.0
Color,Bradley Parker,270.0,86.0
Color,Bradley Rust Gray,61.0,79.0
Color,Brandon Camp,111.0,109.0
Color,Brandon Cronenberg,188.0,108.0
Color,Brandon Trost,66.0,82.0
Color,Breck Eisner,673.0,110.33333333333333
Color,Brenda Chapman,120.0,99.0
Color,Brendan Malloy,37.0,89.0
Color,Brenton Spencer,22.0,84.0
Color,Brett Leonard,92.0,123.0
Color,Brett Piper,18.0,80.0
Color,Brett Ratner,1581.0,103.66666666666667
Color,Brian A Miller,46.0,93.0
Color,Brian Baugh,20.0,120.0
Color,Brian Caunter,11.0,94.0
Color,Brian Dannelly,121.0,92.0
Color,Brian De Palma,1616.0,110.33333333333333
Color,Brian Dorton,10.0,97.0
Color,Brian Gibson,47.0,118.0
Color,Brian Helgeland,898.0,119.2
Color,Brian Henson,75.0,89.0
Color,Brian Klugman,216.0,102.0
Color,Brian Koppelman,173.0,91.0
Color,Brian Levant,412.0,93.83333333333333
Color,Brian Percival,252.0,131.0
Color,Brian Robbins,476.0,99.66666666666667
Color,Brian Trenchard-Smith,56.0,94.66666666666667
Color,Brian Yuzna,46.0,97.0
Color,Britt Allcroft,47.0,85.0
Color,Bronwen Hughes,25.0,100.0
Color,Bruce Beresford,278.0,106.25
Color,Bruce Campbell,100.0,84.0
Color,Bruce Dellis,10.0,95.0
Color,Bruce Hunt,140.0,93.0
Color,Bruce Macdonald,3.0,94.0
Color,Bruce Malmuth,36.0,99.0
Color,Bruce McCulloch,95.0,83.0
Color,Bruce McDonald,178.0,95.0
Color,Bruce Paltrow,65.0,112.0
Color,Bruno Barreto,1.0,99.0
Color,Bryan Barber,81.0,121.0
Color,Bryan Singer,2717.0,130.125
Color,Burr Steers,669.0,102.0
Color,Byron Howard,225.0,96.0
Color,C. Fraser Press,13.0,105.0
Color,C. Jay Cox,44.0,103.5
Color,Cal Brunker,83.0,89.0
Color,Callie Khouri,191.0,110.0
Color,Cameron Crowe,996.0,130.66666666666666
Color,Camille Delamarre,325.0,98.0
Color,Carl Franklin,302.0,118.66666666666667
Color,Carl Rinsch,218.0,128.0
Color,Carlos Carrera,85.0,118.0
Color,Carlos Saldanha,751.0,101.5
Color,Carlos Saura,35.0,115.0
Color,Carmen Marron,8.0,105.0
Color,Carol Reed,76.0,129.0
Color,Caroline Link,73.0,141.0
Color,Carroll Ballard,71.0,109.0
Color,Carter Smith,233.0,93.0
Color,Cary Bell,0.0,78.0
Color,Caryn Waechter,23.0,104.0
Color,Cassandra Nicolaou,10.0,97.0
Color,Catherine Gund,10.0,82.0
Color,Catherine Hardwicke,1026.0,104.83333333333333
Color,Catherine Jelski,13.0,87.0
Color,Catherine Owens,68.0,85.0
Color,Cathy Malkasian,38.0,85.0
Color,Cecil B. DeMille,44.0,152.0
Color,Cedric Nicolas-Troyan,231.0,120.0
Color,Chad Hartigan,34.0,83.0
Color,Chad Kapper,4.0,98.0
Color,Chan-wook Park,976.0,110.33333333333333
Color,Chao-Bin Su,50.0,117.0
Color,Charles Adelman,4.0,96.0
Color,Charles Binamé,20.0,124.0
Color,Charles Ferguson,256.0,102.33333333333333
Color,Charles Herman-Wurmfeld,316.0,93.33333333333333
Color,Charles Martin Smith,220.0,106.0
Color,Charles Robert Carner,35.0,97.0
Color,Charles S. Dutton,76.0,110.0
Color,Charles Shyer,135.0,103.0
