,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Roger Vadim,107.0,98.0
Color,Rohan Sippy,24.0,128.0
Color,Rohit Jagessar,0.0,120.0
Color,Rohit Jugraj,1.0,141.0
Color,Roland Emmerich,1970.0,136.0
Color,Roland Joffé,121.0,115.33333333333333
Color,Roland Suso Richter,33.0,90.0
Color,Roman Polanski,1233.0,121.4
Color,Romesh Sharma,4.0,
Color,Ron Clements,479.0,94.0
Color,Ron Fricke,115.0,102.0
Color,Ron Howard,2738.0,130.69230769230768
Color,Ron Maxwell,106.0,275.5
Color,Ron Shelton,324.0,123.25
Color,Ron Underwood,233.0,101.66666666666667
Color,Ronald Neame,42.0,108.0
Color,Ronan Chapalain,7.0,41.0
Color,Ronny Yu,506.0,95.0
Color,Rowan Joffe,285.0,101.5
Color,Rowdy Herrington,118.0,121.0
Color,Ruairi Robinson,120.0,98.0
Color,Ruba Nadda,36.0,93.0
Color,Ruben Fleischer,1080.0,94.66666666666667
Color,Ruggero Deodato,15.0,87.0
Color,Rupert Sanders,416.0,132.0
Color,Rupert Wainwright,131.0,103.0
Color,Rupert Wyatt,704.0,108.0
Color,Russ Meyer,101.0,109.0
Color,Russell Crowe,183.0,111.0
Color,Russell Friedenberg,27.0,93.0
Color,Russell Holt,6.0,118.0
Color,Russell Mulcahy,412.0,96.25
Color,Rusty Cundieff,25.0,98.0
Color,Ryan Coogler,764.0,109.0
Color,Ryan Fleck,208.0,106.0
Color,Ryan Little,33.0,90.0
Color,Ryan Murphy,345.0,131.0
Color,Ryan Smith,34.0,90.0
Color,Ryûhei Kitamura,177.0,103.0
Color,S.R. Bindler,26.0,85.0
Color,S.S. Rajamouli,44.0,159.0
Color,Sacha Bennett,4.0,101.0
Color,Sadyk Sher-Niyaz,16.0,135.0
Color,Sai Varadan,3.0,89.0
Color,Sajid Khan,10.0,144.0
Color,Salim Akil,134.0,114.0
Color,Sally Potter,76.0,100.0
Color,Salvador Carrasco,39.0,106.0
Color,Sam Fell,118.0,93.0
Color,Sam Firstenberg,40.0,90.0
Color,Sam Levinson,46.0,119.0
Color,Sam Martin,1.0,66.0
Color,Sam Mendes,2556.0,124.57142857142857
Color,Sam Miller,89.0,88.5
Color,Sam Peckinpah,285.0,130.75
Color,Sam Raimi,2920.0,112.0
Color,Sam Taylor-Johnson,567.0,113.5
Color,Sam Weisman,254.0,93.5
Color,Sammo Kam-Bo Hung,63.0,86.0
Color,Sanaa Hamri,143.0,109.5
Color,Sanjay Rawal,9.0,83.0
Color,Sara Newens,18.0,80.0
Color,Sara Sugarman,74.0,89.0
Color,Sarah Gavron,80.0,101.0
Color,Sarah Smith,190.0,97.0
Color,Sarik Andreasyan,30.0,94.0
Color,Saul Dibb,194.0,110.0
Color,Scandar Copti,100.0,124.0
Color,Scott Alexander,29.0,81.0
Color,Scott Cooper,952.0,117.0
Color,Scott Derrickson,1162.0,113.5
Color,Scott Dow,23.0,88.0
Color,Scott Foley,13.0,82.0
Color,Scott Frank,253.0,114.0
Color,Scott Hicks,642.0,107.6
Color,Scott Kalvert,38.0,96.0
Color,Scott Mann,44.0,93.0
Color,Scott Marshall,63.0,91.5
Color,Scott Smith,1.0,87.0
Color,Scott Speer,121.0,99.0
Color,Scott Stewart,451.0,93.5
Color,Scott Walker,120.0,105.0
Color,Scott Waugh,327.0,132.0
Color,Scott Ziehl,18.0,90.0
Color,Sean Anders,600.0,114.25
Color,Sean Byrne,182.0,84.0
Color,Sean Durkin,348.0,102.0
Color,Sean McNamara,156.0,104.5
Color,Sean Penn,424.0,136.0
Color,Serdar Akar,16.0,122.0
Color,Sergey Bodrov,365.0,113.33333333333333
Color,Sergey Bondarchuk,16.0,134.0
Color,Sergio Leone,578.0,159.25
Color,Seth Gordon,756.0,104.66666666666667
Color,Seth MacFarlane,1040.0,124.33333333333333
Color,Shana Feste,296.0,105.66666666666667
Color,Shane Acker,263.0,79.0
Color,Shane Black,831.0,149.0
Color,Shane Carruth,143.0,77.0
Color,Shane Dawson,6.0,93.0
Color,Shane Meadows,201.0,95.5
Color,Shari Springer Berman,284.0,104.5
Color,Sharon Greytak,3.0,94.0
Color,Sharon Maguire,168.0,97.0
Color,Sharron Miller,8.0,79.0
Color,Shawn Levy,1911.0,103.36363636363636
Color,Shekar,1.0,
Color,Shekhar Kapur,448.0,121.0
Color,Sheldon Lettich,57.0,104.5
Color,Sherman Alexie,12.0,103.0
Color,Shimit Amin,14.0,150.0
Color,Shinji Aramaki,62.0,115.0
Color,Shintaro Shimosawa,38.0,106.0
Color,Shona Auerbach,96.0,105.0
Color,Shyam Madiraju,5.0,90.0
Color,Siddharth Anand,16.0,153.0
Color,Siddiq Barmak,105.0,83.0
Color,Sidney J. Furie,94.0,134.0
Color,Sidney Lumet,391.0,120.0
Color,Simeon Rice,6.0,93.0
Color,Simon Curtis,589.0,104.0
Color,Simon Napier-Bell,0.0,81.0
Color,Simon Wells,256.0,92.0
Color,Simon West,1466.0,101.25
Color,Simon Wincer,181.0,102.25
Color,Simon Yin,20.0,102.0
Color,Sngmoo Lee,95.0,100.0
Color,Sofia Coppola,978.0,102.75
Color,Sol Tryon,28.0,91.0
Color,Spencer Susser,134.0,106.0
Color,Spike Jonze,1390.0,105.0
Color,Spike Lee,1171.0,130.86666666666667
Color,Stacy Peralta,74.0,105.0
Color,Stanley Donen,169.0,103.0
Color,Stanley Kramer,61.0,197.0
Color,Stanley Kubrick,942.0,162.5
Color,Stanley Tong,62.0,89.0
Color,Stanton Barrett,21.0,97.0
Color,Stefan C. Schaefer,21.0,90.0
Color,Stefan Ruzowitzky,243.0,101.0
Color,Stefan Schwartz,43.0,99.0
Color,Stephan Elliott,223.0,103.0
Color,Stephen Carpenter,64.0,84.0
Color,Stephen Chbosky,364.0,102.0
Color,Stephen Chow,460.0,92.5
Color,Stephen Daldry,1008.0,118.2
Color,Stephen Frears,1467.0,103.9
Color,Stephen Gaghan,430.0,113.5
Color,Stephen Herek,472.0,105.25
Color,Stephen Hillenburg,89.0,87.0
Color,Stephen Hopkins,598.0,115.2
Color,Stephen J. Anderson,162.0,63.0
Color,Stephen Kay,254.0,94.33333333333333
Color,Stephen Kijak,48.0,95.0
Color,Stephen Langford,2.0,82.0
Color,Stephen Milburn Anderson,27.0,118.0
Color,Stephen Norrington,184.0,110.0
Color,Stephen Sommers,572.0,115.5
Color,Sterling Van Wagenen,4.0,100.0
Color,Stevan Mena,60.0,90.0
Color,Steve Antin,197.0,119.0
Color,Steve Barron,19.0,90.0
Color,Steve Beck,305.0,91.0
Color,Steve Bendelack,151.0,90.0
Color,Steve Box,209.0,85.0
Color,Steve Boyum,59.0,86.5
Color,Steve Buscemi,124.0,93.0
Color,Steve Carr,394.0,92.0
Color,Steve Carver,29.0,107.0
Color,Steve Gomer,24.0,76.0
Color,Steve Hickner,194.0,91.0
Color,Steve James,76.0,138.0
Color,Steve Martino,441.0,88.0
Color,Steve McQueen,1083.0,117.5
Color,Steve Miner,691.0,94.6
Color,Steve Oedekerk,269.0,89.75
Color,Steve Pink,462.0,100.0
Color,Steve Rash,24.0,93.5
Color,Steve Taylor,38.0,108.0
Color,Steve Trenbirth,85.0,72.0
Color,Steven Brill,444.0,95.75
Color,Steven E. de Souza,63.0,102.0
Color,Steven Quale,505.0,90.5
Color,Steven R. Monroe,225.0,105.0
Color,Steven Seagal,47.0,101.0
Color,Steven Shainberg,268.0,113.0
Color,Steven Soderbergh,3301.0,115.71428571428571
Color,Steven Spielberg,6020.0,135.0
Color,Steven Zaillian,110.0,115.0
Color,Stewart Hendler,167.0,101.0
Color,Stewart Raffill,50.0,98.0
Color,Stig Bergqvist,41.0,78.0
Color,Stiles White,183.0,89.0
Color,Stuart Baird,232.0,124.5
Color,Stuart Beattie,308.0,92.0
Color,Stuart Gillard,60.0,96.0
Color,Stuart Gordon,137.0,88.5
Color,Stuart Hazeldine,77.0,101.0
Color,Stéphane Aubier,99.0,80.0
Color,Sue Corcoran,8.0,96.0
Color,Susan Seidelman,35.0,105.0
Color,Susan Stroman,168.0,134.0
Color,Susanna White,231.0,108.5
Color,Susanne Bier,146.0,118.0
Color,Sut Jhally,16.0,80.0
Color,Sydney Pollack,539.0,138.4
Color,Sylvain Chomet,167.0,80.0
Color,Sylvain White,299.0,103.0
Color,Sylvester Stallone,709.0,126.0
Color,Sylvio Tabet,17.0,107.0
Color,Tadeo Garcia,0.0,84.0
Color,Taedong Park,8.0,85.0
Color,Takao Okawara,107.0,99.0
Color,Takashi Shimizu,334.0,117.5
Color,Takashi Yamazaki,44.0,138.0
Color,Takeshi Kitano,81.0,114.0
Color,Tamara Jenkins,261.0,102.5
Color,Tamra Davis,151.0,87.5
Color,Tanner Beard,2.0,108.0
Color,Tara Subkoff,35.0,101.0
Color,Tarsem Singh,1069.0,110.5
Color,Tate Taylor,538.0,142.5
Color,Taylor Hackford,745.0,169.0
Color,Ted Demme,147.0,124.0
Color,Ted Kotcheff,145.0,93.0
Color,Ted Post,104.0,104.5
Color,Teddy Chan,120.0,119.5
Color,Terence Davies,96.0,135.0
Color,Terence Young,490.0,123.75
Color,Terrence Malick,1074.0,149.5
Color,Terron R. Parsons,13.0,93.0
Color,Terry George,187.0,121.0
Color,Terry Gilliam,1265.0,118.85714285714286
Color,Terry Zwigoff,317.0,104.5
Color,Thaddeus O'Sullivan,39.0,96.0
Color,Thea Sharrock,151.0,110.0
Color,Theodore Melfi,275.0,102.0
Color,Theodore Witcher,16.0,104.0
Color,Thomas Bezucha,236.0,106.0
Color,Thomas Carter,278.0,121.0
Color,Thomas L. Phillips,13.0,82.0
Color,Thomas Lilti,18.0,102.0
Color,Thomas Vinterberg,547.0,107.33333333333333
Color,Thor Freudenthal,401.0,100.0
Color,Thorbjørn Christoffersen,2.0,90.0
Color,Ti West,530.0,98.0
Color,Tim Blake Nelson,92.0,95.0
Color,Tim Boxell,3.0,100.0
Color,Tim Burton,3001.0,109.83333333333333
Color,Tim Chambers,34.0,99.0
Color,Tim Fywell,67.0,98.0
Color,Tim Heidecker,82.0,93.0
Color,Tim Hill,471.0,90.2
Color,Tim Johnson,331.0,88.5
Color,Tim McCanlies,97.0,104.0
Color,Tim Miller,579.0,108.0
Color,Tim Robbins,147.0,127.0
Color,Tim Story,747.0,103.83333333333333
Color,Timothy Björklund,33.0,74.0
Color,Timothy Hines,1.0,111.0
Color,Timothy Woodward Jr.,6.0,97.0
Color,Timur Bekmambetov,942.0,115.0
Color,Tina Gordon Chism,43.0,95.0
Color,Tobe Hooper,870.0,102.0
Color,Tod Williams,264.0,98.0
Color,Todd Field,430.0,137.5
Color,Todd Graff,177.0,114.5
Color,Todd Haynes,284.0,115.5
Color,Todd Lincoln,145.0,83.0
Color,Todd Phillips,1533.0,99.42857142857143
Color,Todd Solondz,381.0,106.66666666666667
Color,Todd Strauss-Schulson,161.0,90.0
Color,Tom Brady,49.0,97.0
Color,Tom Dey,387.0,97.33333333333333
Color,Tom Elkins,79.0,101.0
Color,Tom Ford,281.0,99.0
Color,Tom Gormican,164.0,94.0
Color,Tom Green,97.0,87.0
Color,Tom Hanks,293.0,123.5
Color,Tom Holland,215.0,90.0
Color,Tom Hooper,1112.0,124.66666666666667
Color,Tom Kalin,121.0,97.0
Color,Tom McCarthy,628.0,108.5
Color,Tom McGrath,233.0,95.0
Color,Tom McLoughlin,158.0,86.0
Color,Tom Putnam,22.0,86.0
Color,Tom Reeve,12.0,93.0
Color,Tom Sanchez,1.0,110.0
Color,Tom Schulman,30.0,95.0
Color,Tom Seidman,4.0,98.0
Color,Tom Shadyac,740.0,96.42857142857143
Color,Tom Tykwer,1058.0,139.0
Color,Tom Vaughan,274.0,103.5
Color,Tom Walsh,2.0,98.0
Color,Tomas Alfredson,466.0,127.0
Color,Tomm Moore,118.0,75.0
Color,Tommy Lee Jones,380.0,114.5
Color,Tommy Lee Wallace,162.0,98.0
Color,Tommy O'Haver,152.0,91.5
Color,Tommy Oliver,6.0,90.0
Color,Tommy Wirkola,573.0,94.5
Color,Tony Bancroft,143.0,88.0
Color,Tony Giglio,66.0,100.0
Color,Tony Gilroy,946.0,126.33333333333333
Color,Tony Goldwyn,139.0,102.0
Color,Tony Jaa,110.0,110.0
Color,Tony Kaye,0.0,
Color,Tony Krantz,53.0,113.0
Color,Tony Maylam,39.0,96.0
Color,Tony Richardson,39.0,115.0
Color,Tony Scott,1700.0,117.33333333333333
Color,Tran Anh Hung,59.0,114.0
Color,Travis Cluff,159.0,81.0
Color,Travis Legge,3.0,86.5
Color,Travis Romero,5.0,67.0
Color,Travis Zariwny,68.0,99.0
Color,Trent Cooper,37.0,89.0
Color,Trey Parker,455.0,90.33333333333333
Color,Troy Duffy,91.0,138.0
Color,Troy Miller,85.0,85.0
Color,Troy Nixey,298.0,99.0
Color,Tuck Tucker,33.0,76.0
Color,Tyler Oliver,24.0,103.0
Color,Tyler Perry,379.0,112.66666666666667
Color,U. Roberto Romano,3.0,80.0
Color,Udayan Prasad,60.0,102.0
Color,Uli Edel,198.0,139.5
Color,Ulu Grosbard,54.0,106.0
Color,Uwe Boll,506.0,101.6
Color,Vadim Perelman,236.0,108.0
Color,Valentine,0.0,
Color,Valeri Milev,18.0,88.0
Color,Vera Farmiga,68.0,109.0
Color,Vic Armstrong,169.0,110.0
Color,Vic Sarin,54.0,108.5
Color,Vicente Amorim,67.0,92.0
Color,Vicky Jenson,97.0,88.0
Color,Vicky Jewson,8.0,109.0
Color,Victor Fleming,157.0,226.0
Color,Victor Nunez,72.0,113.5
Color,Victor Salva,401.0,104.66666666666667
Color,Vidhu Vinod Chopra,22.0,101.0
Color,Vijay Chandar,3.0,155.0
Color,Vincent Gallo,221.0,101.5
Color,Vincent Paronnaud,242.0,89.0
Color,Vincent Ward,121.0,113.0
Color,Vincente Minnelli,41.0,102.0
Color,Vincenzo Natali,587.0,94.75
Color,Vipul Amrutlal Shah,15.0,128.0
Color,Vivek Agnihotri,4.0,160.0
Color,Vladlen Barbe,10.0,80.0
Color,Vondie Curtis-Hall,66.0,104.0
Color,W.D. Hogan,10.0,90.0
Color,Wade Gasque,13.0,75.0
Color,Wajahat Rauf,6.0,
Color,Wallace Wolodarsky,53.0,93.0
Color,Wally Pfister,355.0,119.0
Color,Walt Becker,467.0,93.5
Color,Walter Hill,431.0,94.33333333333333
Color,Walter Lang,17.0,100.0
Color,Walter Murch,56.0,109.0
Color,Walter Salles,519.0,117.66666666666667
Color,Ward Roberts,2.0,83.0
Color,Warren Beatty,239.0,136.0
Color,Warren P. Sonoda,9.0,105.0
Color,Warren Sheppard,3.0,94.0
Color,Wayne Beach,40.0,93.0
Color,Wayne Kramer,314.0,111.5
Color,Wayne Thornley,39.0,83.0
Color,Wayne Wang,345.0,109.25
Color,Werner Herzog,478.0,121.0
Color,Wes Anderson,2099.0,99.0
Color,Wes Ball,546.0,122.5
Color,Wes Craven,2010.0,104.9
Color,Whit Stillman,223.0,98.5
Color,Wil Shriner,49.0,91.0
Color,Will Canon,58.0,83.0
Color,Will Finn,155.0,82.0
Color,Will Gluck,676.0,106.33333333333333
Color,Willard Huyck,81.0,110.0
Color,William A. Fraker,25.0,98.0
Color,William A. Graham,14.0,102.0
Color,William Bindley,21.0,94.0
Color,William Brent Bell,496.0,85.0
Color,William Cottrell,145.0,83.0
Color,William Dear,16.0,94.0
Color,William Eubank,161.0,97.0
Color,William Friedkin,1087.0,104.5
Color,William Gazecki,24.0,105.5
Color,William H. Macy,44.0,105.0
Color,William Kaufman,49.0,90.0
Color,William Malone,251.0,97.0
Color,William Phillips,15.0,89.0
Color,William Sachs,24.0,95.0
Color,William Shatner,98.0,107.0
Color,Wilson Yip,78.0,105.0
Color,Wolfgang Petersen,1083.0,151.71428571428572
Color,Woo-Suk Kang,15.0,135.0
Color,Woody Allen,3435.0,99.65
Color,Wych Kaosayananda,92.0,91.0
Color,Xavier Beauvois,195.0,122.0
Color,Xavier Gens,367.0,108.0
Color,Yarrow Cheney,165.0,87.0
Color,Yash Chopra,79.0,184.0
Color,Yimou Zhang,759.0,116.6
Color,Yorgos Lanthimos,211.0,94.0
Color,Youssef Delara,33.0,84.0
Color,Yuefeng Song,4.0,88.0
Color,Zach Braff,354.0,104.0
Color,Zach Cregger,76.0,90.0
Color,Zack Snyder,3227.0,142.42857142857142
Color,Zack Ward,15.0,92.0
Color,Zak Penn,60.0,94.0
Color,Zal Batmanglij,336.0,100.5
Color,Zoran Lisinac,17.0,108.0
Color,Álex de la Iglesia,71.0,104.0
Color,Émile Gaudreault,67.0,92.0
Color,Éric Tessier,9.0,99.0
Color,Étienne Faure,9.0,98.0
